brand,name,old_price_reais,new_price_reais,old_price_centavos,new_price_centavos,rating,reviews
UNDER ARMOUR,Under Armour Charged Wing SE Masculino Adultos,297,33,,,4.7,(6)
FILA,Tênis Fila Masculino Maxximus Corrida Treino Conforto,529,498,90,10,,
FILA,Tênis Fila Adr Masculino Preto E Cinza Original,362,325,99,99,,
FILA,Tênis Original Fila Casual Masculino Macio Progress Lite,299,284,99,99,,
FILA,Tênis Fila Masculino Improve Original,439,394,99,99,,
MIZUNO,Tênis Masculino Space 4 Mizuno,329,262,99,99,4.7,(23)
FILA,Tênis Original Fila Kr6 Preto Corrida Caminhada - Masculino,599,60,99,,,
FILA,Tênis Fila Masculino Racer Carbon 2 Corrida Treino Conforto,1.279,124,09,,,
NIKE,Tênis Nike Revolution 7 Masculino,369,35,99,87,4.7,(1078)
FILA,Tênis Fila Kr6 Preto E Branco - Masculino,599,60,99,,,
FILA,Tênis Fila Float Maxxi 2 Pro Masculino,899,809,90,91,,
FILA,Tênis Fila Kr6 Preto E Branco Leve Caminhada - Masculino,599,60,99,,,
PUMA,Tênis Puma Scend Pro Masculino Corrida,398,39,80,,,
PUMA,Tênis De Corrida Puma Deviate Nitro 2 Masculino Original,1.198,119,89,,,
RAYCONN,Tenis 4 Molas Masculino Corrida Caminhada Running Original,186,164,95,51,4.4,(82)
MIZUNO,Tênis Mizuno Cool Ride 2 - Masculino Original Todas As Cores,397,369,21,92,,
FILA,Tênis Fila Float Maxxi 2 Pro Masculino Running Corrida,773,77,69,37,,
FILA,Tênis Fila Kr6 Preto E Branco Corrida Caminhada - Masculino,599,58,99,17,,
FILA,Tênis Fila Kr6 Preto E Branco Antiderrapante - Masculino,599,60,99,,,
ASCENSION,Tênis Masculino E Feminino Corre Trilha Lege 21 *oferta*,123,31,99,,,
MIZUNO,Mizuno Wave Vitality 4 Masculino Adultos,379,37,90,99,4.7,(202)
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,99,70,99,99,4.5,(11040)
FILA,Tênis Fila Float Maxxi 2 Pro Masculino Corrida Running,729,70,90,76,,
PUMA,Tênis Puma Skyrocket Lite Masculino Corrida - Caminhada,349,34,90,99,,
OLYMPIKUS,Tênis Olympikus Volcan 2 Masculino Bege E Preto Original,219,199,98,99,,
FILA,Tênis Fila Adr Masculino Branco E Marinho,362,325,99,99,,
FILA,Tênis Fila Corrida Caminhada Macio Leve Confortável Original,599,58,99,17,,
PUMA,Tênis De Corrida Puma Scend Pro Masculino Cinza,398,39,80,,,
VIA LIVRE,Tênis Masculino Run Fit Academia Corrida Macio Cortável,99,33,99,33,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Corrida Unissex Treino,319,289,90,88,,
FILA,Tênis Fila Masculino Racer Carbon 2 Corrida Treino Conforto,1.279,1.190,90,03,,
OLYMPIKUS,Tênis Olympikus Veloz 3 Corrida Treino Conforto Unissex,319,297,90,50,,
FILA,Tênis Fila Improve Masculino Preto E Azul Original,439,393,99,99,,
OLYMPIKUS,Olympikus 24/7 Lap Masculino Adultos 43769946,229,174,99,89,4.8,(10291)
FILA,Tênis Fila Kr6 Preto Corrida Caminhada Resistente Envio Já,599,60,99,,,
FILA,Tênis Masculino Fila Renno Classic  Casual Confortável Leve,299,269,99,99,,
VIA LIVRE,Tênis Masculino Advanced Flutua Academia Caminhada Flexível,199,33,66,28,,
FILA,Tênis Fila Masculino Adr Original,362,322,99,99,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Corrida Unissex Treino,319,297,90,50,,
FILA,Kit Tênis Fila  Adr  Masculino E Meia,362,329,99,99,,
RAINHA,Tênis Rainha Vl 2500 Futsal Vôlei Academia Capoeira Corrida,78,7,90,67,4.6,(996)
OLYMPIKUS,Tênis Olympikus Volcan 2 Masculino Original,219,199,98,99,,
FILA,Tênis Fila Racer Gripper Masculino Corrida - Caminhada,288,32,78,09,4.8,(24)
ADIDAS,Tênis adidas Response Super Verde,599,59,90,99,,
