brand,name,rating,reviews,_source,_data_coleta,old_price,new_price
UNDER ARMOUR,Under Armour Charged Wing SE Masculino Adultos,4.7,6,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,297.0,33.0
FILA,Tênis Fila Masculino Maxximus Corrida Treino Conforto,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,529.9,498.1
FILA,Tênis Fila Adr Masculino Preto E Cinza Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,362.99,325.99
FILA,Tênis Original Fila Casual Masculino Macio Progress Lite,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,299.99,284.99
FILA,Tênis Fila Masculino Improve Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,439.99,394.99
MIZUNO,Tênis Masculino Space 4 Mizuno,4.7,23,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,329.99,262.99
FILA,Tênis Original Fila Kr6 Preto Corrida Caminhada - Masculino,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,599.99,60.0
FILA,Tênis Fila Masculino Racer Carbon 2 Corrida Treino Conforto,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,1.369,124.0
NIKE,Tênis Nike Revolution 7 Masculino,4.7,1078,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,369.99,35.87
FILA,Tênis Fila Kr6 Preto E Branco - Masculino,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,599.99,60.0
FILA,Tênis Fila Float Maxxi 2 Pro Masculino,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,899.9,809.91
FILA,Tênis Fila Kr6 Preto E Branco Leve Caminhada - Masculino,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,599.99,60.0
PUMA,Tênis Puma Scend Pro Masculino Corrida,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,398.8,39.0
PUMA,Tênis De Corrida Puma Deviate Nitro 2 Masculino Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,2.088,119.0
MIZUNO,Tênis Mizuno Cool Ride 2 - Masculino Original Todas As Cores,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,397.21,369.92
FILA,Tênis Fila Float Maxxi 2 Pro Masculino Running Corrida,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,773.69,77.37
FILA,Tênis Fila Kr6 Preto E Branco Corrida Caminhada - Masculino,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,599.99,58.17
FILA,Tênis Fila Kr6 Preto E Branco Antiderrapante - Masculino,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,599.99,60.0
ASCENSION,Tênis Masculino E Feminino Corre Trilha Lege 21 *oferta*,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,123.99,31.0
MIZUNO,Mizuno Wave Vitality 4 Masculino Adultos,4.7,202,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,379.9,37.99
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,4.5,11040,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,99.99,70.99
FILA,Tênis Fila Float Maxxi 2 Pro Masculino Corrida Running,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,729.9,70.76
PUMA,Tênis Puma Skyrocket Lite Masculino Corrida - Caminhada,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,349.9,34.99
OLYMPIKUS,Tênis Olympikus Volcan 2 Masculino Bege E Preto Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,219.98,199.99
FILA,Tênis Fila Adr Masculino Branco E Marinho,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,362.99,325.99
FILA,Tênis Fila Corrida Caminhada Macio Leve Confortável Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,599.99,58.17
PUMA,Tênis De Corrida Puma Scend Pro Masculino Cinza,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,398.8,39.0
VIA LIVRE,Tênis Masculino Run Fit Academia Corrida Macio Cortável,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,99.99,33.33
OLYMPIKUS,Tênis Olympikus Challenger 5 Corrida Unissex Treino,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,319.9,289.88
FILA,Tênis Fila Masculino Racer Carbon 2 Corrida Treino Conforto,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,2.179,1.22
OLYMPIKUS,Tênis Olympikus Veloz 3 Corrida Treino Conforto Unissex,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,319.9,297.5
FILA,Tênis Fila Improve Masculino Preto E Azul Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,439.99,393.99
OLYMPIKUS,Olympikus 24/7 Lap Masculino Adultos 43769946,4.8,10292,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,229.99,174.89
FILA,Tênis Fila Kr6 Preto Corrida Caminhada Resistente Envio Já,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,599.99,60.0
FILA,Tênis Masculino Fila Renno Classic  Casual Confortável Leve,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,299.99,269.99
VIA LIVRE,Tênis Masculino Advanced Flutua Academia Caminhada Flexível,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,199.66,33.28
FILA,Tênis Fila Masculino Adr Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,362.99,322.99
OLYMPIKUS,Tênis Olympikus Challenger 5 Corrida Unissex Treino,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,319.9,297.5
FILA,Kit Tênis Fila  Adr  Masculino E Meia,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,362.99,329.99
RAINHA,Tênis Rainha Vl 2500 Futsal Vôlei Academia Capoeira Corrida,4.6,996,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,78.9,7.67
OLYMPIKUS,Tênis Olympikus Volcan 2 Masculino Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,219.98,199.99
FILA,Tênis Fila Racer Gripper Masculino Corrida - Caminhada,4.8,24,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,288.78,32.09
PLAZA,Kit 2 Pares Tênis Casual Esportivo Masculino Relogio Digital,4.5,32,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,149.9,14.57
PLAZA,Kit 2 Pares De Tênis Masculino Academia Caminhada Casual Neo,4.2,625,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,139.9,13.6
ASCENSION,Tênis Masculino E Feminino Corre Trilha Lege 21 *oferta*,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,123.99,31.0
FILA,Tênis Fila Kr6 Preto E Branco Antiderrapante - Masculino,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,599.99,60.0
ADIDAS,Tênis Masculino Duramo Sl adidas,4.9,25,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,499.99,356.35
FILA,Tênis Fila Float Maxxi 2 Pro Masculino Corrida Running,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,729.9,70.76
OLYMPIKUS,Olympikus Voa 2 Feminino Adultos,4.8,281,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,299.99,33.33
ADIDAS,Tênis adidas Response Super Verde,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,599.9,59.99
NIKE,Tênis Nike Revolution 7 Masculino,4.7,1078,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,369.99,35.87
PUMA,Tênis Puma Skyrocket Lite Masculino Corrida - Caminhada,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,349.9,34.99
